source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
C8	Collecting duct intercalated cell	COL6A3	SDC1	0.0202605165108196	0	COL6A3_SDC1	COL6A3 - SDC1	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C8	COL4A4	ITGAV_ITGB8	0.0201837676695592	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Injured distal epithelial state (provisional)	C8	COL6A2	SDC4	0.0201278440353565	0	COL6A2_SDC4	COL6A2 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C8	COL4A3	ITGA2_ITGB1	0.0201168944696628	0	COL4A3_ITGA2_ITGB1	COL4A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C5	COL4A4	SDC4	0.0201069636943563	0	COL4A4_SDC4	COL4A4 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	C10	CD46	JAG1	0.0200803301722223	0	CD46_JAG1	CD46 - JAG1	CD46	Cell-Cell Contact	PMID: 23086448
C1	C16	LAMB1	ITGAV_ITGB8	0.0200581291355914	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
Collecting duct principal cell	Collecting duct intercalated cell	LAMB1	ITGA6_ITGB1	0.0200540971992952	0	LAMB1_ITGA6_ITGB1	LAMB1 - (ITGA6+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
C16	C9	COL4A5	ITGA2_ITGB1	0.0200069637738685	0	COL4A5_ITGA2_ITGB1	COL4A5 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C5	C11	COL4A3	ITGAV_ITGB8	0.0199865622934707	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	Collecting duct intercalated cell	LAMB1	ITGA1_ITGB1	0.0199721333663775	0	LAMB1_ITGA1_ITGB1	LAMB1 - (ITGA1+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
C11	C11	LAMA5	ITGAV_ITGB8	0.0199649882981985	0	LAMA5_ITGAV_ITGB8	LAMA5 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C5	C11	COL4A4	ITGAV_ITGB8	0.0199006178821104	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C9	COL4A4	SDC4	0.0198889130007489	0	COL4A4_SDC4	COL4A4 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	Collecting duct intercalated cell	COL6A3	SDC1	0.0198745139161384	0	COL6A3_SDC1	COL6A3 - SDC1	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	Thick ascending limb (TAL) / loop of Henle	LAMB1	ITGAV_ITGB8	0.0198731905251099	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C3	C16	SPP1	ITGAV_ITGB1	0.0198651901065595	0	SPP1_ITGAV_ITGB1	SPP1 - (ITGAV+ITGB1)	SPP1	Secreted Signaling	PMID: 21907263
C11	Thick ascending limb (TAL) / loop of Henle	COL4A1	ITGAV_ITGB8	0.0198619866131955	0	COL4A1_ITGAV_ITGB8	COL4A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C18	C8	COL6A3	SDC4	0.0198411752235495	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	Collecting duct intercalated cell	COL6A3	SDC1	0.0198258737429923	0	COL6A3_SDC1	COL6A3 - SDC1	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct principal cell	Collecting duct intercalated cell	COL6A3	ITGA1_ITGB1	0.0198247379103625	0	COL6A3_ITGA1_ITGB1	COL6A3 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C5	C16	COL6A3	SDC4	0.0198071512657526	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C8	COL4A3	ITGA3_ITGB1	0.0198068094983635	0	COL4A3_ITGA3_ITGB1	COL4A3 - (ITGA3+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C11	C11	COL4A2	ITGAV_ITGB8	0.0197689296660005	0	COL4A2_ITGAV_ITGB8	COL4A2 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	C16	SPP1	ITGAV_ITGB6	0.0197514620160848	0	SPP1_ITGAV_ITGB6	SPP1 - (ITGAV+ITGB6)	SPP1	Secreted Signaling	PMID: 21907263
C8	C8	COL6A3	ITGAV_ITGB8	0.0197388602761536	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	C16	COL4A3	ITGAV_ITGB8	0.0197116281121367	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C4	C11	COL6A3	ITGAV_ITGB8	0.0196549330683758	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C2	C16	COL4A3	ITGAV_ITGB8	0.0196183957118166	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct intercalated cell	C16	PLG	PARD3	0.0196000168476943	0	PLG_PARD3	PLG - PARD3	PARs	Secreted Signaling	KEGG: hsa04080
C16	C9	COL4A5	SDC4	0.0195736442130041	0	COL4A5_SDC4	COL4A5 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct principal cell	Thick ascending limb (TAL) / loop of Henle	COL4A5	ITGAV_ITGB8	0.0195557224511976	0	COL4A5_ITGAV_ITGB8	COL4A5 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C11	Thick ascending limb (TAL) / loop of Henle	COL4A3	ITGAV_ITGB8	0.0194898489692778	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C9	C5	KITLG	KIT	0.0194893825738774	0	KITL_KIT	KITL - KIT	KIT	Secreted Signaling	KEGG: hsa04080
C13	Collecting duct intercalated cell	COL4A3	SDC4	0.0194440185015848	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	Thick ascending limb (TAL) / loop of Henle	COL4A5	ITGAV_ITGB8	0.0194294437451628	0	COL4A5_ITGAV_ITGB8	COL4A5 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Epithelial progenitor-like / repair state (provisional)	C11	COL4A4	ITGAV_ITGB8	0.0194124277673146	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C8	COL4A4	ITGA2_ITGB1	0.0194108038353394	0	COL4A4_ITGA2_ITGB1	COL4A4 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C14	C8	COL6A1	ITGA2_ITGB1	0.0193854930716411	0	COL6A1_ITGA2_ITGB1	COL6A1 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	C8	COL6A3	ITGAV_ITGB8	0.0193625998401952	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C5	Collecting duct intercalated cell	COL6A1	SDC1	0.0193469836314705	0	COL6A1_SDC1	COL6A1 - SDC1	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	Thick ascending limb (TAL) / loop of Henle	COL4A4	ITGAV_ITGB8	0.0193239080948859	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C8	COL6A3	ITGAV_ITGB8	0.0193151878176783	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	Collecting duct intercalated cell	COL6A3	SDC1	0.0193140455477657	0	COL6A3_SDC1	COL6A3 - SDC1	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	Collecting duct intercalated cell	COL4A3	ITGA1_ITGB1	0.0193092993432077	0	COL4A3_ITGA1_ITGB1	COL4A3 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C10	COL4A3	SDC4	0.0192266814722764	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Thick ascending limb (TAL) / loop of Henle	Thick ascending limb (TAL) / loop of Henle	COL4A2	ITGAV_ITGB8	0.019218465630155	0	COL4A2_ITGAV_ITGB8	COL4A2 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Injured distal epithelial state (provisional)	C11	COL6A2	ITGAV_ITGB8	0.0191174691860355	0	COL6A2_ITGAV_ITGB8	COL6A2 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C8	COL4A4	ITGA3_ITGB1	0.0191113903812851	0	COL4A4_ITGA3_ITGB1	COL4A4 - (ITGA3+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C14	C8	COL6A1	ITGA3_ITGB1	0.019086462439209	0	COL6A1_ITGA3_ITGB1	COL6A1 - (ITGA3+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C8	COL4A5	SDC4	0.0190735339713136	0	COL4A5_SDC4	COL4A5 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	Collecting duct intercalated cell	LAMB1	ITGA6_ITGB1	0.019051713448969	0	LAMB1_ITGA6_ITGB1	LAMB1 - (ITGA6+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
C14	Thick ascending limb (TAL) / loop of Henle	COL4A3	ITGAV_ITGB8	0.0189784145588729	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C11	C11	LAMB1	ITGAV_ITGB8	0.018965282947395	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C13	C8	COL4A2	SDC4	0.0188948339415125	0	COL4A2_SDC4	COL4A2 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	Thick ascending limb (TAL) / loop of Henle	COL4A1	ITGAV_ITGB8	0.0188695009933224	0	COL4A1_ITGAV_ITGB8	COL4A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C5	C8	COL6A1	ITGAV_ITGB8	0.0188483960174366	0	COL6A1_ITGAV_ITGB8	COL6A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C18	C11	COL6A3	ITGAV_ITGB8	0.0188449137854805	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C8	COL6A3	ITGAV_ITGB8	0.0188162904879729	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C5	COL4A3	SDC4	0.018794342410856	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C19	Thick ascending limb (TAL) / loop of Henle	COL6A3	ITGAV_ITGB8	0.0187912874284254	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C16	COL4A4	SDC4	0.0187388617134521	0	COL4A4_SDC4	COL4A4 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C9	C8	COL6A3	ITGA2_ITGB1	0.0186336602711265	0	COL6A3_ITGA2_ITGB1	COL6A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	Collecting duct intercalated cell	COL4A4	ITGA1_ITGB1	0.0186310158428898	0	COL4A4_ITGA1_ITGB1	COL4A4 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C14	Collecting duct intercalated cell	COL6A1	ITGA1_ITGB1	0.0186067025916688	0	COL6A1_ITGA1_ITGB1	COL6A1 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C19	COL6A1	SDC4	0.0185816606361955	0	COL6A1_SDC4	COL6A1 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C8	LAMA5	ITGAV_ITGB8	0.0185720631710152	0	LAMA5_ITGAV_ITGB8	LAMA5 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C16	C8	LAMB1	ITGA2_ITGB1	0.0185127148047111	0	LAMB1_ITGA2_ITGB1	LAMB1 - (ITGA2+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
C9	C8	LAMB1	ITGA2_ITGB1	0.0185090823148763	0	LAMB1_ITGA2_ITGB1	LAMB1 - (ITGA2+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
C10	C12	JAG1	NOTCH2	0.0184779025207101	0	JAG1_NOTCH2	JAG1 - NOTCH2	NOTCH	Cell-Cell Contact	PMID: 22353464
C16	Thick ascending limb (TAL) / loop of Henle	COL4A3	ITGAV_ITGB8	0.0184774910956992	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	C16	COL4A5	SDC4	0.018441479934725	0	COL4A5_SDC4	COL4A5 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C9	C8	COL6A3	ITGA3_ITGB1	0.018346010052416	0	COL6A3_ITGA3_ITGB1	COL6A3 - (ITGA3+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Epithelial progenitor-like / repair state (provisional)	Collecting duct intercalated cell	COL6A3	SDC4	0.0183028372012153	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C11	C8	COL4A1	SDC4	0.0182717816843231	0	COL4A1_SDC4	COL4A1 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct intercalated cell	Thick ascending limb (TAL) / loop of Henle	COL4A3	ITGAV_ITGB8	0.0182555854945078	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	C8	LAMB1	ITGA3_ITGB1	0.0182268969600807	0	LAMB1_ITGA3_ITGB1	LAMB1 - (ITGA3+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
C9	C8	LAMB1	ITGA3_ITGB1	0.018223319510987	0	LAMB1_ITGA3_ITGB1	LAMB1 - (ITGA3+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Collecting duct intercalated cell	Collecting duct intercalated cell	COL6A3	SDC1	0.0182134529413517	0	COL6A3_SDC1	COL6A3 - SDC1	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	Thick ascending limb (TAL) / loop of Henle	FGF1	FGFR3	0.0181244064169645	0	FGF1_FGFR3	FGF1 - FGFR3	FGF	Secreted Signaling	PMC: 4393358
C12	C11	COL4A5	ITGAV_ITGB8	0.0181151048195639	0	COL4A5_ITGAV_ITGB8	COL4A5 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Epithelial progenitor-like / repair state (provisional)	C10	COL6A3	SDC4	0.0180980203850821	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C8	COL4A4	ITGA2_ITGB1	0.0180964757215365	0	COL4A4_ITGA2_ITGB1	COL4A4 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	Thick ascending limb (TAL) / loop of Henle	COL6A1	ITGAV_ITGB8	0.0180878553415438	0	COL6A1_ITGAV_ITGB8	COL6A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C5	Thick ascending limb (TAL) / loop of Henle	LAMB1	ITGAV_ITGB8	0.0180863072368441	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C4	C11	PLG	PARD3	0.0180599943176083	0	PLG_PARD3	PLG - PARD3	PARs	Secreted Signaling	KEGG: hsa04080
C13	Collecting duct intercalated cell	COL6A3	SDC4	0.0179898547952074	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct principal cell	C8	COL4A5	SDC4	0.0179895878183239	0	COL4A5_SDC4	COL4A5 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C11	LAMA1	ITGAV_ITGB8	0.0179753779832412	0	LAMA1_ITGAV_ITGB8	LAMA1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C13	C11	COL4A2	ITGAV_ITGB8	0.0179452200441529	0	COL4A2_ITGAV_ITGB8	COL4A2 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C11	C8	COL4A3	SDC4	0.0179288933924656	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C9	Collecting duct intercalated cell	COL6A3	ITGA1_ITGB1	0.0178845229685277	0	COL6A3_ITGA1_ITGB1	COL6A3 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C8	COL4A5	SDC4	0.0178732378771785	0	COL4A5_SDC4	COL4A5 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Injured distal epithelial state (provisional)	C16	COL6A3	ITGAV_ITGB8	0.017858231078657	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C8	COL4A4	ITGA3_ITGB1	0.0178169675359222	0	COL4A4_ITGA3_ITGB1	COL4A4 - (ITGA3+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C10	COL6A3	SDC4	0.0177884769260269	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	C8	COL4A4	SDC4	0.0177760018935328	0	COL4A4_SDC4	COL4A4 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	Collecting duct intercalated cell	LAMB1	ITGA1_ITGB1	0.0177683518885743	0	LAMB1_ITGA1_ITGB1	LAMB1 - (ITGA1+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
C9	Collecting duct intercalated cell	LAMB1	ITGA1_ITGB1	0.0177648628110098	0	LAMB1_ITGA1_ITGB1	LAMB1 - (ITGA1+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Collecting duct intercalated cell	C8	COL6A3	ITGAV_ITGB8	0.0177435487909415	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	Thick ascending limb (TAL) / loop of Henle	COL4A4	ITGAV_ITGB8	0.0177386071915119	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C8	COL6A3	ITGA2_ITGB1	0.0176967471563186	0	COL6A3_ITGA2_ITGB1	COL6A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Epithelial progenitor-like / repair state (provisional)	C5	COL6A3	SDC4	0.017690603079804	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C9	COL6A1	ITGA2_ITGB1	0.0176809884588744	0	COL6A1_ITGA2_ITGB1	COL6A1 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Thick ascending limb (TAL) / loop of Henle	C8	COL4A2	SDC4	0.0176788534411948	0	COL4A2_SDC4	COL4A2 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	C10	SPP1	ITGAV_ITGB5	0.0176046448501772	0	SPP1_ITGAV_ITGB5	SPP1 - (ITGAV+ITGB5)	SPP1	Secreted Signaling	PMID: 21907263
C1	C16	LAMB1	ITGA2_ITGB1	0.0175894935983036	0	LAMB1_ITGA2_ITGB1	LAMB1 - (ITGA2+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
Collecting duct intercalated cell	Collecting duct intercalated cell	PLG	PARD3	0.0175273179971083	0	PLG_PARD3	PLG - PARD3	PARs	Secreted Signaling	KEGG: hsa04080
C14	C8	COL4A3	SDC4	0.0174576908193086	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C5	Collecting duct intercalated cell	COL6A3	SDC1	0.0174410711424034	0	COL6A3_SDC1	COL6A3 - SDC1	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C8	COL6A3	ITGA3_ITGB1	0.0174233034039264	0	COL6A3_ITGA3_ITGB1	COL6A3 - (ITGA3+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	Thick ascending limb (TAL) / loop of Henle	LAMB1	ITGAV_ITGB8	0.0174139390225311	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C13	C5	COL6A3	SDC4	0.0173879045736521	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	Collecting duct intercalated cell	COL4A4	ITGA1_ITGB1	0.0173685528623407	0	COL4A4_ITGA1_ITGB1	COL4A4 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	C11	LAMB1	ITGAV_ITGB8	0.0173627408708453	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C16	C8	COL6A3	ITGA2_ITGB1	0.0173587239806114	0	COL6A3_ITGA2_ITGB1	COL6A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C8	COL4A1	SDC4	0.0173573499917497	0	COL4A1_SDC4	COL4A1 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C11	C11	COL4A1	ITGAV_ITGB8	0.0173529272176823	0	COL4A1_ITGAV_ITGB8	COL4A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct principal cell	Collecting duct intercalated cell	COL6A3	SDC4	0.017337062751408	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C8	COL6A3	ITGA2_ITGB1	0.0173161320833209	0	COL6A3_ITGA2_ITGB1	COL6A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C9	COL6A1	SDC4	0.0172971567191781	0	COL6A1_SDC4	COL6A1 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C19	C8	COL6A3	SDC4	0.0172852938264958	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	C16	COL4A3	ITGA2_ITGB1	0.0172848856583373	0	COL4A3_ITGA2_ITGB1	COL4A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	C11	SPP1	ITGAV_ITGB3	0.0172790745778897	0	SPP1_ITGAV_ITGB3	SPP1 - (ITGAV+ITGB3)	SPP1	Secreted Signaling	PMID: 21907263
C10	C10	CD46	JAG1	0.0172774489254734	0	CD46_JAG1	CD46 - JAG1	CD46	Cell-Cell Contact	PMID: 23086448
C2	C16	COL4A3	ITGA2_ITGB1	0.0172029298800313	0	COL4A3_ITGA2_ITGB1	COL4A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C1	C16	COL6A3	ITGAV_ITGB8	0.0171651583709968	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C14	Thick ascending limb (TAL) / loop of Henle	COL4A4	ITGAV_ITGB8	0.0171476161961933	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct principal cell	C10	COL6A3	SDC4	0.0171428646523696	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	C16	COL6A3	ITGAV_ITGB8	0.0171196913797311	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C2	C16	COL6A1	ITGAV_ITGB8	0.0170930463537644	0	COL6A1_ITGAV_ITGB8	COL6A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	C8	COL6A3	ITGA3_ITGB1	0.0170904123688149	0	COL6A3_ITGA3_ITGB1	COL6A3 - (ITGA3+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct principal cell	C11	COL4A5	ITGAV_ITGB8	0.0170846774035325	0	COL4A5_ITGAV_ITGB8	COL4A5 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C8	COL6A3	ITGA3_ITGB1	0.0170484673872033	0	COL6A3_ITGA3_ITGB1	COL6A3 - (ITGA3+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C11	C11	COL4A3	ITGAV_ITGB8	0.0170269830860564	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	C5	KITLG	KIT	0.0170032395709302	0	KITL_KIT	KITL - KIT	KIT	Secreted Signaling	KEGG: hsa04080
C16	C8	COL4A3	SDC4	0.0169962105135922	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C5	C8	COL6A3	ITGAV_ITGB8	0.0169907494566031	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	Collecting duct intercalated cell	COL6A3	ITGA1_ITGB1	0.0169846250773312	0	COL6A3_ITGA1_ITGB1	COL6A3 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C11	COL4A5	ITGAV_ITGB8	0.0169740789225209	0	COL4A5_ITGAV_ITGB8	COL4A5 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	Collecting duct intercalated cell	LAMB1	ITGA6_ITGB1	0.0169477373797069	0	LAMB1_ITGA6_ITGB1	LAMB1 - (ITGA6+ITGB1)	LAMININ	ECM-Receptor	KEGG: hsa04512
